Village_Name,Village,Union_Name
DAKKHIN KAKCHIRA,042,DOUATALA
UTTAR GUDIGHATA,213,DOUATALA
DAKKHIN HOGALPATI,040,DOUATALA
HOGALPATI,081,DOUATALA
PASHCHIM HOGALPATI,162,DOUATALA
DAKKHIN KAKCHIRA,040,DOUATALA
UTTAR KAKCHIRA,211,DOUATALA
KHUCHNICHORA,110,DOUATALA
AJODHYA,010,RAMNA
PASHCHIM BALAIBUNIA,160,RAMNA
PURBA BALAIBUNIA,161,RAMNA
GHOPKHALI,070,RAMNA
DAUATALA,040,RAMNA
GOLAGHATA,071,RAMNA
DAKKHIN GOLAGHATA KARAITALA,040,RAMNA
UTTAR GOLAGHATA KARAITALA,211,RAMNA
KHOLPATUA,110,RAMNA
DAKKHIN RAMNA,040,RAMNA
UTTAR RAMNA,211,RAMNA
AYLA PATAKATA,010,AYLA PATAKATA
GABTALI,070,AYLA PATAKATA
PAKURGACHHIA,161,AYLA PATAKATA
PURBA KEORABANIA,162,AYLA PATAKATA
BADHU THAKURANI,020,AYLA PATAKATA
KADAMTALA,111,AYLA PATAKATA
KHEJURTALA,112,AYLA PATAKATA
LEMUYA,123,AYLA PATAKATA
UTTAR ITBARIA,214,AYLA PATAKATA
JANGALIA,100,AYLA PATAKATA
DAKKHIN ITBARIA,040,AYLA PATAKATA
KHAJURTALA,111,AYLA PATAKATA
LANGALKATA,122,AYLA PATAKATA
PORAKATA,163,AYLA PATAKATA
PURBA KEORABANIA,164,AYLA PATAKATA
DAKKHIN BADARKHALI,040,BADARKHALI
UTTAR BADARKHALI,211,BADARKHALI
DEMA,040,BADARKHALI
PASHCHIM BAOALKAR,161,BADARKHALI
PURBA BAOALKAR,162,BADARKHALI
MAJHERCHAR,130,BADARKHALI
PASHCHIM GULISAKHALI,161,BADARKHALI
PURBA GULISAKHALI,162,BADARKHALI
CHALITATALA,030,BADARKHALI
FULTALA,061,BADARKHALI
KUMRAKHALI,112,BADARKHALI
SATGHAR KATAKHALI,193,BADARKHALI
PATAKATA,160,BADARKHALI
DAKKHIN TENTULBARIA,040,BADARKHALI
UTTAR TENTULBARIA,211,BADARKHALI
BANSHBANIA,020,BARGUNA
DAKKHIN HELIBANIA,041,BARGUNA
KALIRTABAK,112,BARGUNA
KHAKBUNIA,113,BARGUNA
PAJRABHANGA,164,BARGUNA
BANSHBANIA (PART),020,BARGUNA
KHAKBUNIA (PART),117,BARGUNA
UTTAR HELIBANIA,220,BARGUNA
AMTALI,010,BARGUNA
HELIBANIA,081,BARGUNA
PASHCHIM HELIBANIA (KARAITALA),162,BARGUNA
PATAKATA,163,BARGUNA
DHALUA,040,BARGUNA
KALATALA,111,BARGUNA
KARAITALA,112,BARGUNA
KORAK,113,BARGUNA
PASHCHIM HELIBANIA KARAITALA,164,BARGUNA
UTTAR HELIBANIA,215,BARGUNA
AMTALI (PART),010,BARGUNA
PARBATI,160,BARGUNA
PASHCHIM DHALUA,161,BARGUNA
POTKAKHALI,162,BARGUNA
BARA LABANGOLA,020,BURIRCHAR
CHHONBUNIA,031,BURIRCHAR
MANIKKHALI,132,BURIRCHAR
BURIRCHAR,020,BURIRCHAR
CHARAKGACHHIA,030,BURIRCHAR
KEORABANIA,111,BURIRCHAR
PASHCHIM CHARKGACHHIA,162,BURIRCHAR
SONAKHALI,193,BURIRCHAR
CHHOTA LABANGOLA,030,BURIRCHAR
MAITHA,131,BURIRCHAR
UTTAR BARA LABANGOLA,219,BURIRCHAR
HAZAR BIGHA,080,BURIRCHAR
NAPITKHALI,141,BURIRCHAR
PASHCHIM BURIRCHAR,162,BURIRCHAR
RAYER TABAK,180,BURIRCHAR
SONATALA,191,BURIRCHAR
ISLAMPUR BANDARGACHHIA,090,DHALUA
KHAKBUNIA,111,DHALUA
RAYBHOG (PART),182,DHALUA
UTTAR CHARAGACHHIA,213,DHALUA
DALBHANGA,040,DHALUA
KADAMTALA,111,DHALUA
KANTHALTALI,112,DHALUA
LAKURTALA,123,DHALUA
MANIKJOR,134,DHALUA
MARKHALI,135,DHALUA
MOLLARHORA,136,DHALUA
PASHCHIM FULDHALUA,167,DHALUA
RAYBHOG (PART),188,DHALUA
LEMUA,120,DHALUA
PURBA FULDHALUA,161,DHALUA
BARAITALA,020,DHALUA
GOLBUNIA,071,DHALUA
KHAJURA,112,DHALUA
LATABARIA,123,DHALUA
MACHHKHALI,134,DHALUA
POTKAKHALI,165,DHALUA
UTTAR DALBHANGA,216,DHALUA
UTTAR FULDHALUA,217,DHALUA
DAKKHIN CHARAKGACHHIA,040,DHALUA
ITBARIA,091,DHALUA
NALI,142,DHALUA
SAJIPARA,193,DHALUA
SHAPA,194,DHALUA
AMTALI,010,GOURICHANNA
BHUTMARA,020,GOURICHANNA
MANASATALI,131,GOURICHANNA
PASHCHIM DHUPATI,162,GOURICHANNA
PURBA DHUPATI,163,GOURICHANNA
ROADPARA,184,GOURICHANNA
BETBUNIA,020,GOURICHANNA
KHAJURTALA,111,GOURICHANNA
LAKURTALA,122,GOURICHANNA
BAISH TABAK,020,GOURICHANNA
BARA GAURICHANNA,021,GOURICHANNA
CHHOTA BADARKHALI,032,GOURICHANNA
KALAI MUDAFAT,113,GOURICHANNA
UTTAR LAKURTALA,214,GOURICHANNA
ADABARIA,010,KEORABANIA
ADABARIA,010,KEORABANIA
ANGARPARA,011,KEORABANIA
HARIDRABARIA,082,KEORABANIA
PURBA ANGARPARA,163,KEORABANIA
DAKKHIN JAKIRTABAK,040,KEORABANIA
K.LATABARIA,111,KEORABANIA
KEORABANIA,112,KEORABANIA
LATABARIA,123,KEORABANIA
SHINGRABUNIA,194,KEORABANIA
JUGIRTABAK,100,KEORABANIA
KOTBARIA,111,KEORABANIA
PASHCHIM GHATBARIA,162,KEORABANIA
PASHCHIM TULSIBARIA,163,KEORABANIA
PURBA GHATBARIA,164,KEORABANIA
PURBA TULSIBARIA,165,KEORABANIA
BARA BALIATALI,020,M BALIATALI
CHARPARA,031,M BALIATALI
CHHOTA BALIATALI,032,M BALIATALI
AMTALI,010,M BALIATALI
BASUKI,021,M BALIATALI
CHALITATALI,032,M BALIATALI
LAKURTALA,123,M BALIATALI
MAITHA,134,M BALIATALI
MANASATALI,135,M BALIATALI
SHASATALA,196,M BALIATALI
AMTALI,010,M BALIATALI
AZIZABAD NIMTALI,011,M BALIATALI
CHALITATALI,032,M BALIATALI
CHAR MAITHA,033,M BALIATALI
MADARTOLI,134,M BALIATALI
MAITHA,135,M BALIATALI
NIMTALI,146,M BALIATALI
CHHONBUNIA,030,M BALIATALI
PALER BALIATALI,161,M BALIATALI
PATAKATA,162,M BALIATALI
BANAI,020,M BALIATALI
KHONTAKATA,111,M BALIATALI
LATAKATA,122,M BALIATALI
MANASATALI,133,M BALIATALI
PARIRKHAL,164,M BALIATALI
RAKKHACHANDI,185,M BALIATALI
SHASATALI,196,M BALIATALI
AMLAKITALA,010,M BALIATALI
BAINSAMERTA,021,M BALIATALI
PARIRKHAL,162,M BALIATALI
TALTALI,203,M BALIATALI
AMTALI,010,M BALIATALI
CHALITATALI,031,M BALIATALI
CHARABHANGA,032,M BALIATALI
FALISATALI,063,M BALIATALI
HELIBANIA,084,M BALIATALI
JAILKHANA,105,M BALIATALI
JHINAIBARIA,106,M BALIATALI
URBANIA,217,M BALIATALI
PADMA (PART-788),160,NALTONA
SHIALIA,191,NALTONA
GAZI MAMUD,070,NALTONA
PADMA (PART-788),161,NALTONA
GAZI MAMUD (PART),070,NALTONA
KUMIRMARA,111,NALTONA
PADMA (PART),162,NALTONA
SONATALA,193,NALTONA
AZGARKATHI,010,NALTONA
GOLBUNIA,071,NALTONA
NALTONA,142,NALTONA
AMTALI,010,NALTONA
GARJANBUNIA,071,NALTONA
NISHANBARIA,142,NALTONA
PADMA,160,NALTONA
GARJANBUNIA,070,NALTONA
PADMA,161,NALTONA
SHIALIA,192,NALTONA
ANDHARMANIK,010,PHULJHURI
BURIRKHAL,021,PHULJHURI
FERACHORA,062,PHULJHURI
KHUCNICHARA,113,PHULJHURI
PASHCHIM GUDIGHATA,164,PHULJHURI
PURBA GUDIGHATA,165,PHULJHURI
ROADPARA,186,PHULJHURI
SAHEBER HAULA,197,PHULJHURI
BAROGHAR,020,PHULJHURI
CHHOTA GOURICHANNA,031,PHULJHURI
GALACHIPA,072,PHULJHURI
GYANPARA,073,PHULJHURI
KHANDAKAR HAOLA,114,PHULJHURI
KHANMAHAL,115,PHULJHURI
MIRMAHAL,136,PHULJHURI
RUPNAGAR,187,PHULJHURI
GILATALI,070,PHULJHURI
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
BASANDA BHOLANATHPUR,021,BETAGI
DAKKHIN BETAGI,043,BETAGI
PURBA BETAGI,168,BETAGI
UTTAR BETAGI,220,BETAGI
CHHOTA KEORABUNIA,030,BETAGI
DAKKHIN BHOLANATHPUR,040,BETAGI
GRED LAKKHIPURA,070,BETAGI
JHILBUNIA,100,BETAGI
JHOPKHALI,100,BETAGI
KEORABUNIA,110,BETAGI
KHONTAKATA LAKKHIPURA,110,BETAGI
KISMAT BHOLANATHPUR,110,BETAGI
KISMAT KARUNA,110,BETAGI
PASHCHIM RANIPUR,160,BETAGI
PURBA RANIPUR,161,BETAGI
UTTAR BHOLANATHPUR,210,BETAGI
BIBICHINI,020,BIBICHINI
CHAR BIBICHINI,031,BIBICHINI
DESHANTARKATHI,040,BIBICHINI
FULTALA,060,BIBICHINI
GABUA PUTIAKHALI,070,BIBICHINI
GARIABUNIA,070,BIBICHINI
TALGACHHIA,200,BIBICHINI
BADNIKHALI,020,BURA MAZUMDAR
BALAIBUNIA,020,BURA MAZUMDAR
BAMANER KARUNA,020,BURA MAZUMDAR
BURA MAZUMDAR,020,BURA MAZUMDAR
DAKKHIN KARUNA,040,BURA MAZUMDAR
GERAMARDAN,070,BURA MAZUMDAR
KAUNIA,110,BURA MAZUMDAR
TALBARIA,200,BURA MAZUMDAR
ANOR JALISA,010,HOSNABAD
CHHOPKHALI,030,HOSNABAD
DAKKHIN CHHOPKHALI,040,HOSNABAD
UTTAR CHHOPKHALICHAR,211,HOSNABAD
CHHOPKHALICHAR,030,HOSNABAD
DAKKHIN BASANDA,040,HOSNABAD
PASHCHIM HOSNABAD,160,HOSNABAD
PURBA HOSNABAD,161,HOSNABAD
PASHCHIM HOSNABAD,160,HOSNABAD
PURBA HOSNABAD,161,HOSNABAD
PASHCHIMKANDI,160,HOSNABAD
PURBAKANDI,161,HOSNABAD
PURBA CHHOPAKHALI,160,HOSNABAD
UTTAR KARUNA,210,HOSNABAD
AYELA CHANDAKHALI,010,KAZIRABAD
DAKKHIN CHANDAKHALI,041,KAZIRABAD
PASHCHIM BAKULTALI,160,KAZIRABAD
PURBA BAKULTALI,161,KAZIRABAD
CHHOTA KALIKABARI,030,KAZIRABAD
UTTAR KALIKABARI,211,KAZIRABAD
DAKKHIN KAJIRABAD,040,KAZIRABAD
KAZIRABAD,111,KAZIRABAD
MADHYA KAZIRABAD,132,KAZIRABAD
KUMRAKHALI,110,KAZIRABAD
UTTAR CHANDAKHALI,210,KAZIRABAD
BARA MOKAMIA,020,MOKAMIA
CHARKHALI,030,MOKAMIA
CHHOTA MOKAMIA,030,MOKAMIA
DAKKHIN BARO MOKAMIA,040,MOKAMIA
HAT MOKAMIA,080,MOKAMIA
JHINGABARIA,100,MOKAMIA
KAIALGHATA,110,MOKAMIA
KARUNA,110,MOKAMIA
KARUNA JOAR,110,MOKAMIA
KISMAT CHHOTO MOKAMIA,110,MOKAMIA
MACHHUAKHALI,130,MOKAMIA
UTTAR CHHOTO MOKAMIA,210,MOKAMIA
BETMOR,020,SARISHAMURI
BHORA,021,SARISHAMURI
DAKKHIN KALIKABARI,040,SARISHAMURI
GABTALI,070,SARISHAMURI
SARISHAMURI,190,SARISHAMURI
,,
,,
,,
,,
,,
,,
,,
,,
,,
DAKHHIN CHAR DUANI,040,CHAR DUANI
UTTAR CHAR DUANI,211,CHAR DUANI
CHHOTA TENGRA,030,CHAR DUANI
DAKKHIN GYANPARA,040,CHAR DUANI
GABBARIA,070,CHAR DUANI
DAKKHIN HOGLAPASHA,040,CHAR DUANI
UTTAR HOGLAPASHA,211,CHAR DUANI
MATHERKHAL,130,CHAR DUANI
SAHERABAD,190,CHAR DUANI
TAFALBARIA,200,CHAR DUANI
BAINCHATKI,020,KAKCHIRA
SHINGRABUNIA,191,KAKCHIRA
MAJER CHAR,130,KAKCHIRA
HARIDRA,080,KAKCHIRA
KAKCHIRA,111,KAKCHIRA
KAKCHIRA BAINCHATKI,112,KAKCHIRA
KALIBARI,113,KAKCHIRA
AMTALI,010,KAKCHIRA
KHASTABAK,112,KAKCHIRA
LEMUA KHAGTABAK,124,KAKCHIRA
BARIAITABAK,020,KAKCHIRA
JALIAGHATA,101,KAKCHIRA
KATAKHALI,112,KAKCHIRA
MADHAYA JALIAGHATA,133,KAKCHIRA
PASHCHIM JALIAGHATA,164,KAKCHIRA
PURBA JALIAGHATA,165,KAKCHIRA
RUPDON,186,KAKCHIRA
BARA PATHARGHATA,020,KALAMEGHA
CHHANBANIA,030,KALAMEGHA
CHHOTA PATHARGHATA,030,KALAMEGHA
GHUTABACHHA,071,KALAMEGHA
KALIBARI (PART),112,KALAMEGHA
AMRATALA,010,KALAMEGHA
KALIPUR,111,KALAMEGHA
MADHYA KUPDON,133,KALAMEGHA
UTTAR KUPDON,214,KALAMEGHA
DAKKHIN KUPDON,041,KALAMEGHA
KALMEGHA,112,KALAMEGHA
MADHYA KALMEGHA,133,KALAMEGHA
PURBA KALMEGHA,164,KALAMEGHA
AZIZABAD,010,KANTHALTALI
KALIBARI,111,KANTHALTALI
KALIPUR (PART),112,KANTHALTALI
KANTHALTALI,110,KANTHALTALI
PARIGHATA,161,KANTHALTALI
UTTAR KANTHALTALI,212,KANTHALTALI
KIRANPUR,110,KANTHALTALI
TALUK CHARDUANI,200,KANTHALTALI
DAKKHIN GYANPARA,040,NACHNAPARA
PURBA GYANPARA,161,NACHNAPARA
UTTAR GYANPARA,212,NACHNAPARA
DAKKHIN MANIKKHALI,040,NACHNAPARA
SHINGRABUNIA,191,NACHNAPARA
UTTAR MANIKKHALI,212,NACHNAPARA
BARA NACHNAPARA,020,NACHNAPARA
CHHOTA NACHNAPARA,031,NACHNAPARA
DAKKHIN PURBA NACHNAPARA,042,NACHNAPARA
PASHCHIM BADURTALA,160,PATHARGHATA
PURBA BADURTALA,161,PATHARGHATA
BARA TENGRA,020,PATHARGHATA
BARAITALA (PART),023,PATHARGHATA
CHAR LATHIMARA,030,PATHARGHATA
HORINGHATA,081,PATHARGHATA
GAHARPUR,070,PATHARGHATA
HARITANA,080,PATHARGHATA
HATEMPUR,080,PATHARGHATA
KORALIA,110,PATHARGHATA
NIJ LATHIMARA,140,PATHARGHATA
PADMA,160,PATHARGHATA
PATHARGHATA,160,PATHARGHATA
RUHITA,180,PATHARGHATA
BETMOR,020,RAYHANPUR
SHATKAR,191,RAYHANPUR
GOLBUNIA,071,RAYHANPUR
LEMUA,123,RAYHANPUR
MADHYA LEMUA,135,RAYHANPUR
PURBA LEMUA,167,RAYHANPUR
CHARAKKHOLA,030,RAYHANPUR
JAMIRTALA,101,RAYHANPUR
KARAITALA,112,RAYHANPUR
MADARTALI,133,RAYHANPUR
RAYHANPUR,180,RAYHANPUR
,,
,,
,,
,,
,,
,,
,,
,,
,,
AGATHAKURPARA,010,BARABAGI
BALIPARA,021,BARABAGI
BARA BHAIJORA,022,BARABAGI
CHARPARA,033,BARABAGI
CHHATANPARA,034,BARABAGI
CHHOTA BHAIJORA,035,BARABAGI
DAKKHIN KAZIRKHAL,046,BARABAGI
HARINKHOLA,087,BARABAGI
KARAMJAPARA,118,BARABAGI
MALIPARA,139,BARABAGI
MANUKHEPARA,140,BARABAGI
MOMAPARA,141,BARABAGI
MOMISHEPARA,142,BARABAGI
NAOBHANGA,153,BARABAGI
NATUNPARA,154,BARABAGI
NAY BHAIJORA,155,BARABAGI
NAYAPARA,156,BARABAGI
PAJRABHANGA,177,BARABAGI
SADAGARPARA,208,BARABAGI
SHIKARIPARA,209,BARABAGI
TALTALI BANDAR,220,BARABAGI
TALTALIPARA,221,BARABAGI
TALUKDARPARA,222,BARABAGI
TULATALI,223,BARABAGI
UTTAR KAZIRKHAL,234,BARABAGI
BETHIPARA,020,CHHOTABAGI
GENDAMARA,071,CHHOTABAGI
JUGIRTABAK,102,CHHOTABAGI
CHARPARA,030,CHHOTABAGI
THAKURPARA,201,CHHOTABAGI
THONGPARA,202,CHHOTABAGI
CHHOTA BAGI,030,CHHOTABAGI
MOUPARA,131,CHHOTABAGI
GABTALI,070,CHHOTABAGI
SUNDARIA,191,CHHOTABAGI
ALIRBANDAR,010,KARAIBARIA
UTTAR JHARAKHALI,211,KARAIBARIA
BEHALA,020,KARAIBARIA
GENDAMARA,070,KARAIBARIA
HELANCHABARIA,080,KARAIBARIA
JHARAKHALI,100,KARAIBARIA
KARAIBARIA,110,KARAIBARIA
BARAITALIPARA,021,NISHANBARIA
BETHIPARA,022,NISHANBARIA
CHHOTA ANGKUJANPARA,034,NISHANBARIA
MAHAPARA,139,NISHANBARIA
MARATI,140,NISHANBARIA
NAMESHEPARA,151,NISHANBARIA
SOBHANPARA,204,NISHANBARIA
TANTIPARA,215,NISHANBARIA
ADAPARA,010,NISHANBARIA
BARA ANGKUJANPARA,021,NISHANBARIA
CHAMOPARA,032,NISHANBARIA
JOYALBHANGA,103,NISHANBARIA
MANIPARA,134,NISHANBARIA
NALBUNIA,140,NISHANBARIA
NIDRAGHORAPARA,145,NISHANBARIA
TENTULBARIA,206,NISHANBARIA
BARAPARA,020,PACHAKORALIA
GABBARIA,071,PACHAKORALIA
CHANDKHALI,030,PACHAKORALIA
HARIPARA,081,PACHAKORALIA
HULATANA,082,PACHAKORALIA
KALARANG,113,PACHAKORALIA
JOYALBHANGA,100,PACHAKORALIA
MANSATALI,131,PACHAKORALIA
PACHAKORALIA,162,PACHAKORALIA
BADURGACHHA,020,SARIKKHALI
KACHUPATRA,111,SARIKKHALI
ANGARPARA,010,SARIKKHALI
CHAULAPARA,031,SARIKKHALI
NALBUNIA,142,SARIKKHALI
SARIKKHALI,193,SARIKKHALI
BARA AMKHOLA,020,SONAKATA
CHHOTA AMKHOLA,033,SONAKATA
IDUPARA,095,SONAKATA
KABIRAJPARA,116,SONAKATA
LALUPARA,127,SONAKATA
LAUPARA,128,SONAKATA
NIDRACHAR,152,SONAKATA
SAKINA,203,SONAKATA
TENGAGRICHAK,200,SONAKATA
AMBOULA,010,BAGDHA
ASKAR,010,BAGDHA
KHAJURIA,110,BAGDHA
PASHCHIM BAGDHA,161,BAGDHA
PURBA BAGDHA,162,BAGDHA
CHAND TRISHIRA,030,BAGDHA
GOPALSEN,070,BAGDHA
KHADIKANI,111,BAGDHA
NIMARPAR,142,BAGDHA
JOBARPAR,100,BAGDHA
NAGIRPAR,141,BAGDHA
SOMAIRPAR,192,BAGDHA
JOYRAM PATTI,100,BAGDHA
CHAKRIBARI,030,BAGDHA
KALIRBARI,111,BAGDHA
BAKAL,020,BAKAL
DAKKHIN BARA MAGRA,040,BAKAL
DUMURIA,040,BAKAL
JALIRPAR,100,BAKAL
JASHAR,100,BAKAL
AMBARI,010,BAKAL
ANDHARMANIK,011,BAKAL
FENABARI,062,BAKAL
KADAMBARI,113,BAKAL
KODALDHOA,114,BAKAL
RAJAPUR,185,BAKAL
SHIMULBARI,196,BAKAL
MANASI FULLASREE,130,BAKAL
NOAPARA,140,BAKAL
PAKURITA,160,BAKAL
PAYSA,160,BAKAL
SARBARI,190,BAKAL
SHIBBARI,190,BAKAL
TETLA,200,BAKAL
UTTAR BARA MAGRA,210,BAKAL
BUDHAR,020,GAILA
CHHABIKHARPAR,031,GAILA
GHORARPAR,072,GAILA
KALURPAR,113,GAILA
KANDIRPAR,114,GAILA
KUAITTARPAR,115,GAILA
NAGARBARI,146,GAILA
DAKKHIN SHIHIPASHA,040,GAILA
DASPATTI,040,GAILA
GAILA,070,GAILA
GAISSAR,071,GAILA
HARIVANGHA,082,GAILA
KALUPARA,110,GAILA
KATHIRA,110,GAILA
MADHYA SHIHIPASHA,130,GAILA
MURIHAR,511,GAILA
PASHCHIM KATHIRA,160,GAILA
PASHCHIM SUJANKATHI,160,GAILA
PATIHAR,160,GAILA
PURBA KATHIRA,160,GAILA
PURBA RAHUTPARA,160,GAILA
PURBA SUJANKATHI,160,GAILA
SERAL,190,GAILA
ASHOK SEN,010,GAILA
BHADRAPARA,021,GAILA
TALTA,202,GAILA
TEMAR,200,GAILA
UTTAR SHIHIPASHA,210,GAILA
AHUTI,010,RAJIHAR
AHUTIBHATRA,011,RAJIHAR
BAHADURPUR,022,RAJIHAR
MAGURA,133,RAJIHAR
BARA BASHAIL,020,RAJIHAR
BASUNDA,020,RAJIHAR
BATRA,020,RAJIHAR
CHENGUTIA,030,RAJIHAR
CHHOTA BASHAIL,030,RAJIHAR
CHHOTA DUMURIA,030,RAJIHAR
DAKKHIN BHAJNA,040,RAJIHAR
DAKKHIN BHALUKSHI,040,RAJIHAR
GOAIL,070,RAJIHAR
KALAIA,110,RAJIHAR
KANDIRPAR CHENGUTIA,110,RAJIHAR
KAZIRGRAM SAJURIA,110,RAJIHAR
LAKHAR MATIA,120,RAJIHAR
PASHCHIM GOAIL,160,RAJIHAR
PASHCHIM RAJIHAR,160,RAJIHAR
PURBA GOAIL,160,RAJIHAR
RAJIHAR,180,RAJIHAR
RAMANANDER AK,180,RAJIHAR
RANGTA,180,RAJIHAR
SAJURIA,190,RAJIHAR
SUTARBARI,190,RAJIHAR
UTTAR BHALUKSHI,210,RAJIHAR
